date,share
2018-12-31,33.69
2019-01-31,33.44
2019-02-28,33.13
2019-03-31,32.83
2019-04-30,32.54
2019-05-31,32.2
2019-06-30,31.88
2019-07-31,31.49
2019-08-31,31.33
2019-09-30,30.99
2019-10-31,30.8
2019-11-30,30.51
2019-12-31,30.4
2020-01-31,30.53
2020-02-29,30.29
2020-03-31,30.12
2020-04-30,30.06
2020-05-31,30.02
2020-06-30,29.99
2020-07-31,30.04
2020-08-31,30.05
2020-09-30,30.03
2020-10-31,30.05
2020-11-30,30.08
2020-12-31,30.09
2021-01-31,30.12
2021-02-28,30.12
2021-03-31,30.11
2021-04-30,30.17
2021-05-31,30.23
2021-06-30,30.28
2021-07-31,30.32
2021-08-31,30.34
2021-09-30,30.32
2021-10-31,30.34
2021-11-30,30.32
2021-12-31,30.32
2022-01-31,30.32
2022-02-28,30.35
2022-03-31,30.42
2022-04-30,30.5
2022-05-31,30.57
2022-06-30,30.4
2022-07-31,30.63
2022-08-31,30.71
2022-09-30,30.95
2022-10-31,31.29
2022-11-30,31.7
2022-12-31,32.14
2023-01-31,32.57
2023-02-28,32.95
2023-03-31,33.49
2023-04-30,33.9
2023-05-31,34.33
2023-06-30,34.66
2023-07-31,34.93
2023-08-31,35.17
2023-09-30,35.4
2023-10-31,35.42
2023-11-30,35.57
2023-12-31,35.72
2024-01-31,36.52
2024-02-29,36.67
2024-03-31,36.82
2024-04-30,36.87
2024-05-31,36.98
2024-06-30,36.56
2024-07-31,36.5
2024-08-31,36.63
2024-09-30,36.66
2024-10-31,36.73
2024-11-30,36.82
2024-12-31,36.94
2025-01-31,37.23
2025-02-28,37.44
2025-03-31,37.42
2025-04-30,37.45
2025-05-31,37.58
2025-06-30,37.74
