date,value
2008-03-31,110.87
2008-06-30,111.53
2008-09-30,110.08
2008-12-31,107.53
2009-03-31,106.91
2009-06-30,108.58
2009-09-30,109.17
2009-12-31,110.04
2010-03-31,110.42
2010-06-30,110.72
2010-09-30,109.38
2010-12-31,107.68
2011-03-31,106.52
2011-06-30,104.0
2011-09-30,101.38
2011-12-31,97.29
2012-03-31,95.91
2012-06-30,94.4
2012-09-30,92.92
2012-12-31,93.94
2013-03-31,90.72
2013-06-30,91.51
2013-09-30,92.01
2013-12-31,94.55
2014-03-31,95.02
2014-06-30,96.6
2014-09-30,95.95
2014-12-31,97.19
2015-03-31,97.01
2015-06-30,99.89
2015-09-30,100.96
2015-12-31,102.14
2016-03-31,104.66
2016-06-30,108.34
2016-09-30,110.18
2016-12-31,111.53
2017-03-31,114.34
2017-06-30,118.03
2017-09-30,122.82
2017-12-31,124.72
2018-03-31,129.18
2018-06-30,132.9
2018-09-30,134.11
2018-12-31,136.6
2019-03-31,142.08
2019-06-30,145.19
2019-09-30,148.63
2019-12-31,151.48
2020-03-31,157.37
2020-06-30,160.28
2020-09-30,159.44
2020-12-31,163.64
2021-03-31,168.4
2021-06-30,173.24
2021-09-30,177.71
2021-12-31,183.18
2022-03-31,191.26
2022-06-30,198.66
2022-09-30,203.82
2022-12-31,206.38
2023-03-31,209.72
2023-06-30,216.5
2023-09-30,220.36
2023-12-31,223.19
2024-03-31,225.65
2024-06-30,234.52
2024-09-30,243.53
2024-12-31,250.82
2025-03-31,264.0
