date,value
2008-03-31,107.56
2008-06-30,107.71
2008-09-30,102.57
2008-12-31,101.96
2009-03-31,104.55
2009-06-30,104.77
2009-09-30,104.26
2009-12-31,104.21
2010-03-31,105.06
2010-06-30,105.6
2010-09-30,105.28
2010-12-31,104.8
2011-03-31,104.5
2011-06-30,102.5
2011-09-30,101.84
2011-12-31,99.56
2012-03-31,98.12
2012-06-30,95.0
2012-09-30,94.77
2012-12-31,94.84
2013-03-31,95.13
2013-06-30,93.36
2013-09-30,93.85
2013-12-31,95.38
2014-03-31,97.92
2014-06-30,99.41
2014-09-30,99.42
2014-12-31,96.57
2015-03-31,96.8
2015-06-30,101.9
2015-09-30,100.04
2015-12-31,101.26
2016-03-31,101.34
2016-06-30,103.46
2016-09-30,103.76
2016-12-31,104.77
2017-03-31,105.58
2017-06-30,109.02
2017-09-30,110.92
2017-12-31,110.96
2018-03-31,115.8
2018-06-30,115.86
2018-09-30,117.19
2018-12-31,120.34
2019-03-31,122.76
2019-06-30,127.88
2019-09-30,129.43
2019-12-31,130.27
2020-03-31,134.99
2020-06-30,136.94
2020-09-30,136.57
2020-12-31,140.27
2021-03-31,142.35
2021-06-30,146.63
2021-09-30,152.5
2021-12-31,155.12
2022-03-31,157.93
2022-06-30,158.91
2022-09-30,165.31
2022-12-31,166.1
2023-03-31,166.99
2023-06-30,171.59
2023-09-30,174.95
2023-12-31,177.59
2024-03-31,176.24
2024-06-30,182.98
2024-09-30,189.04
2024-12-31,194.55
2025-03-31,201.74
