date,value
2008-03-31,109.23
2008-03-31,107.56
2008-03-31,110.87
2008-06-30,109.59
2008-06-30,107.71
2008-06-30,111.53
2008-09-30,106.56
2008-09-30,102.57
2008-09-30,110.08
2008-12-31,104.74
2008-12-31,101.96
2008-12-31,107.53
2009-03-31,105.67
2009-03-31,104.55
2009-03-31,106.91
2009-06-30,104.77
2009-06-30,108.58
2009-06-30,106.65
2009-09-30,109.17
2009-09-30,106.7
2009-09-30,104.26
2009-12-31,110.04
2009-12-31,107.13
2009-12-31,104.21
2010-03-31,110.42
2010-03-31,107.74
2010-03-31,105.06
2010-06-30,110.72
2010-06-30,105.6
2010-06-30,108.16
2010-09-30,105.28
2010-09-30,109.38
2010-09-30,107.32
2010-12-31,104.8
2010-12-31,107.68
2010-12-31,106.21
2011-03-31,104.5
2011-03-31,106.52
2011-03-31,105.45
2011-06-30,104.0
2011-06-30,103.18
2011-06-30,102.5
2011-09-30,101.49
2011-09-30,101.84
2011-09-30,101.38
2011-12-31,98.25
2011-12-31,99.56
2011-12-31,97.29
2012-03-31,96.84
2012-03-31,98.12
2012-03-31,95.91
2012-06-30,95.0
2012-06-30,94.4
2012-06-30,94.64
2012-09-30,92.92
2012-09-30,93.7
2012-09-30,94.77
2012-12-31,93.94
2012-12-31,94.31
2012-12-31,94.84
2013-03-31,90.72
2013-03-31,92.45
2013-03-31,95.13
2013-06-30,91.51
2013-06-30,92.25
2013-06-30,93.36
2013-09-30,92.75
2013-09-30,93.85
2013-09-30,92.01
2013-12-31,95.38
2013-12-31,94.55
2013-12-31,94.89
2014-03-31,97.92
2014-03-31,95.02
2014-03-31,96.16
2014-06-30,99.41
2014-06-30,96.6
2014-06-30,97.7
2014-09-30,99.42
2014-09-30,97.31
2014-09-30,95.95
2014-12-31,96.98
2014-12-31,96.57
2014-12-31,97.19
2015-03-31,96.94
2015-03-31,96.8
2015-03-31,97.01
2015-06-30,100.57
2015-06-30,101.9
2015-06-30,99.89
2015-09-30,100.04
2015-09-30,100.96
2015-09-30,100.65
2015-12-31,102.14
2015-12-31,101.84
2015-12-31,101.26
2016-03-31,104.66
2016-03-31,103.67
2016-03-31,101.34
2016-06-30,108.34
2016-06-30,106.91
2016-06-30,103.46
2016-09-30,110.18
2016-09-30,103.76
2016-09-30,108.31
2016-12-31,104.77
2016-12-31,111.53
2016-12-31,109.57
2017-03-31,105.58
2017-03-31,114.34
2017-03-31,111.89
2017-06-30,109.02
2017-06-30,118.03
2017-06-30,115.51
2017-09-30,110.92
2017-09-30,122.82
2017-09-30,119.6
2017-12-31,124.72
2017-12-31,121.06
2017-12-31,110.96
2018-03-31,125.58
2018-03-31,115.8
2018-03-31,129.18
2018-06-30,128.49
2018-06-30,115.86
2018-06-30,132.9
2018-09-30,129.72
2018-09-30,117.19
2018-09-30,134.11
2018-12-31,132.34
2018-12-31,136.6
2018-12-31,120.34
2019-03-31,142.08
2019-03-31,137.14
2019-03-31,122.76
2019-06-30,145.19
2019-06-30,140.65
2019-06-30,127.88
2019-09-30,148.63
2019-09-30,143.67
2019-09-30,129.43
2019-12-31,146.07
2019-12-31,130.27
2019-12-31,151.48
2020-03-31,134.99
2020-03-31,157.37
2020-03-31,151.67
2020-06-30,136.94
2020-06-30,160.28
2020-06-30,154.34
2020-09-30,136.57
2020-09-30,159.44
2020-09-30,153.61
2020-12-31,163.64
2020-12-31,157.69
2020-12-31,140.27
2021-03-31,161.7
2021-03-31,142.35
2021-03-31,168.4
2021-06-30,166.4
2021-06-30,146.63
2021-06-30,173.24
2021-09-30,171.3
2021-09-30,152.5
2021-09-30,177.71
2021-12-31,183.18
2021-12-31,155.12
2021-12-31,175.96
2022-03-31,191.26
2022-03-31,157.93
2022-03-31,182.64
2022-06-30,188.31
2022-06-30,198.66
2022-06-30,158.91
2022-09-30,165.31
2022-09-30,203.82
2022-09-30,193.82
2022-12-31,206.38
2022-12-31,195.91
2022-12-31,166.1
2023-03-31,198.55
2023-03-31,209.72
2023-03-31,166.99
2023-06-30,216.5
2023-06-30,171.59
2023-06-30,204.74
2023-09-30,220.36
2023-09-30,208.48
2023-09-30,174.95
2023-12-31,223.19
2023-12-31,211.27
2023-12-31,177.59
2024-03-31,176.24
2024-03-31,225.65
2024-03-31,212.45
2024-06-30,182.98
2024-06-30,234.52
2024-06-30,220.74
2024-09-30,189.04
2024-09-30,243.53
2024-09-30,228.89
2024-12-31,250.82
2024-12-31,235.68
2024-12-31,194.55
2025-03-31,201.74
2025-03-31,247.05
2025-03-31,264.0
